IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy,label
0.9161,0.9895,0.0716,0.0724,0.9841,0.9867,0.1891,0.1882,0.9892,0.1573,0.215,8.0
0.243,0.9822,0.7797,0.7827,0.9168,0.9918,1.0,1.0,0.9663,0.8751,0.8543,8.0
0.1737,0.9787,1.2367,1.2369,0.8748,1.0006,0.7471,0.7537,0.9837,1.1806,1.2032,8.0
0.9946,0.9915,0.9565,0.9532,0.9914,1.0,0.0276,0.0285,1.0,0.3444,0.3641,9.0
0.9092,0.9923,0.6014,0.6002,0.9924,0.9825,0.1273,0.1291,0.9766,0.7642,0.3894,9.0
0.9902,0.9923,0.3351,0.3348,0.9925,0.989,0.069,0.0704,0.9865,0.3252,0.3544,9.0
0.8963,0.997,0.4094,0.4108,0.9972,0.9772,0.6278,0.6334,0.942,0.3634,0.3954,9.0
1.0,0.9918,0.6033,0.6013,0.9919,0.9961,0.0366,0.0377,0.9955,0.3299,0.3555,9.0
0.9096,0.9919,0.962,0.9581,0.9918,0.9883,0.1035,0.1056,0.9838,0.7715,0.3955,9.0
0.9923,0.9923,0.3569,0.3552,0.9925,0.9901,0.0653,0.0668,0.9879,0.3249,0.3538,9.0
0.9516,0.9926,0.3877,0.386,0.9928,0.9786,0.1736,0.1754,0.97,0.3445,0.3721,9.0
0.7441,1.0,0.7192,0.7225,1.0,0.9705,0.9646,0.9666,0.916,1.0,1.0,9.0
0.8564,0.9965,0.6322,0.6338,0.9965,0.979,0.4993,0.5047,0.9513,0.8165,0.8721,9.0
0.9868,0.992,0.5453,0.5435,0.9921,0.9903,0.0694,0.0709,0.9878,0.3321,0.3579,9.0
0.9957,0.9915,0.9257,0.9224,0.9914,1.0,0.0273,0.0282,1.0,0.3439,0.3633,9.0
0.9942,0.9922,0.3768,0.3761,0.9924,0.9915,0.0531,0.0544,0.99,0.3245,0.3544,9.0
0.7868,0.995,1.0,1.0,0.9948,0.9802,0.4672,0.4728,0.9543,0.912,0.9652,9.0
0.9966,0.9915,0.9004,0.897,0.9914,1.0,0.0273,0.0282,1.0,0.3421,0.3623,9.0
0.9966,0.9919,0.567,0.565,0.992,0.9941,0.0492,0.0505,0.9928,0.3295,0.3554,9.0
0.8622,0.998,0.4964,0.4972,0.9981,0.9686,1.0,1.0,0.9121,0.3798,0.4114,9.0
0.659,1.0016,1.1123,1.12,1.0014,0.969,1.0872,1.0877,0.9075,1.2001,1.1443,9.0
0.9658,0.9997,0.9827,0.9848,0.9995,1.0,0.9999,0.9999,0.0716,0.7616,0.7615,10.0
0.5607,0.9999,0.6243,0.6263,0.9998,1.0,0.9982,0.9982,0.0747,0.933,0.9328,10.0
0.9998,0.9999,0.3613,0.362,0.9999,1.0,0.4994,0.4994,1.0,0.5777,0.5776,10.0
0.9953,1.0,0.422,0.4238,1.0,1.0,0.4999,0.4999,0.9991,0.5518,0.5516,10.0
0.5573,0.9999,0.6214,0.621,0.9998,1.0,0.9983,0.9983,0.0745,1.0,1.0,10.0
0.9726,0.9996,0.9769,0.9794,0.9994,1.0,0.9998,0.9998,0.0718,0.7126,0.7124,10.0
1.0,0.9999,0.3728,0.3746,0.9999,1.0,0.4994,0.4994,1.0,0.5763,0.5762,10.0
0.9982,0.9999,0.3873,0.3871,0.9999,1.0,0.4994,0.4994,1.0,0.5518,0.5516,10.0
0.5634,0.9999,0.6792,0.6801,0.9998,1.0,0.9988,0.9988,0.0736,0.9176,0.9177,10.0
0.5606,0.9999,0.6532,0.655,0.9998,1.0,0.9985,0.9985,0.0741,0.95,0.9341,10.0
0.5595,0.9999,0.6012,0.603,0.9998,1.0,0.9982,0.9982,0.0747,0.9974,0.9973,10.0
0.9752,0.9996,0.974,0.9749,0.9994,1.0,0.9998,0.9998,0.0718,0.7583,0.7581,10.0
0.9913,1.0,0.3931,0.3943,1.0,1.0,0.4996,0.4996,0.9996,0.5842,0.5843,10.0
0.9657,0.9997,1.0,1.0,0.9995,1.0,1.0,1.0,0.0714,0.7155,0.7155,10.0
0.9729,0.9996,0.9595,0.9615,0.9994,1.0,0.9998,0.9998,0.0718,0.762,0.7619,10.0
0.561,0.9999,0.6127,0.6129,0.9998,1.0,0.9982,0.9982,0.0747,0.9974,0.9972,10.0
0.9956,1.0,0.4335,0.4355,1.0,1.0,0.5003,0.5003,0.9983,0.5382,0.5382,10.0
0.9713,0.9997,1.026,1.0278,0.9995,1.0,1.0002,1.0002,0.0711,0.7008,0.7009,10.0
0.6687,0.9996,0.9027,0.9028,0.9991,1.0,0.982,0.9824,0.4516,0.9913,0.9929,11.0
0.9906,0.9999,0.4878,0.4878,0.9997,0.972,0.8841,0.8598,0.5849,0.6364,0.636,11.0
0.9975,1.0,0.2704,0.2705,1.0,0.9589,0.6081,0.5834,0.9831,0.5548,0.555,11.0
0.9511,0.9998,0.5021,0.5024,0.9996,0.9585,0.7145,0.6851,0.8262,0.5814,0.581,11.0
0.9767,0.9998,0.6009,0.6008,0.9996,0.9721,0.8817,0.8575,0.5885,0.6536,0.6539,11.0
